Country Name,"Country Code","Series Name","Series Code","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]"
Argentina,"ARG","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","150797810295.884","158982878499.524","157628310158.567","149261089202.812","164381681831.918","181755894112.433","180556802912.311","186320169964.576","195305461613.156","214210104570.482","220734180309.322","233223609573.669","237021461356.448","243685921868.226","257171024124.452","257097956426.363","251909073021.038","269376820356.431","257238364643.474","283535234199.299","287841521828.634","272903153784.458","270895516738.16","282677015450.457","287117132733.287","272218554792.861","288969188904.054","296785426416.393","293550663101.649","272541389928.67","265817211205.311","290094591011.844","313120244489.89","338817957426.035","358592053441.545","348389357874.283","367643757074.802","397463514160.866","412766570325.764","398792535409.293","395646066535.875","378202665751.853","336999433710.193","366780211148.674","399898899166.738","435296589745.339","470325565798.353","512690850741.56","533491913656.279","501917060966.235","552738161802.463","585924294024.785","579910247223.428","593858966307.156","578937574935.696","594749285413.212","582376550428.09","598790850843.677","583118120294.002","571450737224.442","514874343768.066","570058627079.249","598312841626.662"
Argentina,"ARG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.42784287621933","-0.852021521903339","-5.30819682539126","10.1302976615431","10.5694333376394","-0.659726170629824","3.19199662339177","4.82250077932424","9.67952601078326","3.04564331917115","5.65813108184925","1.62841651825939","2.81175403849035","5.5338043957736","-0.0284121037110907","-2.01825151683394","6.93414775653342","-4.50612480201359","10.2227634638681","1.51878394990179","-5.18978914135593","-0.735659159103619","4.34909327926756","1.57073870182023","-5.18902435343904","6.15337706275693","2.70486882770558","-1.08993334133791","-7.15694965597953","-2.46721377810472","9.13311056738961","7.93729155643076","8.20697907221228","5.83620070368526","-2.84520961057079","5.52668982715234","8.1110467707457","3.85017885156228","-3.38545704063269","-0.78899893905691","-4.40883968258557","-10.8944848285903","8.83704079576924","9.02957330068152","8.85165992013437","8.04715150043027","9.00765087504757","4.05723310346406","-5.91852507634947","10.1253981561002","6.00395169280579","-1.0264204544321","2.40532378079436","-2.51261532081394","2.73115982828944","-2.08032784377811","2.81850297775918","-2.61739646282038","-2.00086100285785","-9.9004848136464","10.7180099337095","4.95636996008236"
Argentina,"ARG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","3.74090281401109","-2.4543330322291","-6.83139331486137","8.38275147670433","8.83885021210359","-2.2092854101143","1.58724121826592","3.20815605012841","8.00173312595651","1.44319966346231","3.99812531243921","0.0204873323872619","1.13609332154905","3.75415966139556","-1.67352839502321","-3.56380252130759","5.23880284239959","-6.02700203883769","8.47251807667928","-0.0775227575679907","-6.67658724564203","-2.28515041480823","2.73513003775881","0.0213797875689323","-6.61309327708733","4.56111400269241","1.16468993134897","-2.57039183252373","-8.52791141060089","-3.87738988305726","7.58999966385119","6.45007313090611","6.74749737225402","4.42012078486435","-4.11688080061714","4.20496731858427","6.82332109239341","2.65434759734458","-4.49211212893599","-1.90698749835167","-5.45379697848054","-11.8459503938227","7.71922963663721","7.92815705080419","7.73249699851691","6.93498173764449","7.91621057164458","3.02978540664043","-6.86795522506981","9.84429639847724","4.78868313859435","-2.14528444981812","1.26568517537076","-3.57858050983289","1.62966427946263","-3.11006389821465","1.75764818265694","-3.60160975657155","-2.96956249866219","-10.7702732277494","9.67392093465429","3.98913108450517"
Australia,"AUS","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","204552693089.735","209630955779.938","212344121294.877","225544205184.523","241288179166.102","255718059201.207","261801097293.834","278307830410.407","292484137221.49","313090190822.925","335556914435.482","348981339247.185","362627385697.042","372125844372.745","387410259374.595","392587775927.283","402751099517.447","417230606483.794","420958064894.822","438008654792.14","451305273260.368","466378263938.703","481886340041.634","471166922893.159","492801545631.177","518814215454.189","539388997290.731","553211117373.353","585042374929.356","607734119284.946","629485671230.824","627081824259.933","629763718009.98","655238649441.03","681315222435.779","707771815356.074","735119653575.813","763886278172.32","799508217490.112","839704672154.942","872633840587.072","890305786856.39","925736696479.946","954348321893.94","994663065408.582","1026036123626.81","1054306478910.88","1094089602422.35","1133326149869.16","1154775181480.75","1180486690611.43","1208924281855.58","1256294887279.41","1289036425122.18","1322646774172.19","1351768945139.11","1389336532090.02","1421551208676.45","1462866648667.66","1494773366351.99","1489770563790.11","1521231998735.21","1586172577281.96"
Australia,"AUS","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","2.48261834811161","1.29425804735992","6.21636417770918","6.98043825541792","5.98035099977743","2.3788066089777","6.30506643677147","5.09375061067358","7.04518672266681","7.17579926522316","4.00064019967748","3.91025104072715","2.61934400167974","4.10732423801765","1.33644280898659","2.58880286482639","3.59515020162482","0.893380867343609","4.05042480931625","3.03569765637125","3.33986584500624","3.32521416670674","-2.22447001663274","4.5917108538037","5.27852845706782","3.96573209130946","2.56255135941761","5.75390778607942","3.87864970607134","3.57912304997303","-0.381874771857909","0.427678437851654","4.04515704898813","3.97970617529882","3.88316480376135","3.86393433962627","3.91318943203036","4.66325162994434","5.02764746946789","3.92151782931303","2.02512731541893","3.97963375579748","3.09068718165635","4.22432172716931","3.15413925672789","2.75529824273126","3.77339268108837","3.58622797986055","1.89257360858259","2.22653807797504","2.40897178005686","3.91840962538336","2.60619844706027","2.60740103188527","2.20181015336807","2.77914262537222","2.31870938698817","2.90636311509867","2.1811091061096","-0.33468635945016","2.11183088925151","4.26894639349867"
Australia,"AUS","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","0.46363353564314","-1.1480443948544","4.19873826456185","4.90156701861073","3.92365469042102","0.0677924352448684","4.97163565173526","3.25598829672226","4.82799048785007","5.08489856795649","0.543866968954632","2.01767608058643","1.06241374515199","1.50521010746019","0.096451786347302","1.56532731426162","2.43452246190819","-0.273097836095502","2.93206555134095","1.78737515549771","1.73844783209778","1.54925927939979","-3.55341551124046","3.34354997959313","3.88541591636181","2.4726901064096","1.01423834002445","4.03769471682078","2.13491048629481","2.05739235459797","-1.64357108847297","-0.690436666464393","3.12373821007526","2.98309228927927","2.73260144954565","2.61079781380573","2.79486849131419","3.62521847644352","3.88493232980949","2.73894429537623","0.723531156716689","2.80352716038983","1.91173867643482","3.11589344319816","1.90606523763795","1.37798003366018","1.89670839165348","1.53111186781014","-0.185773152884209","0.648500068252503","0.995812001601593","2.11992606815087","0.85530140286312","1.08830078150544","0.741438843604087","1.18626585064179","0.647495218504773","1.37834535331957","0.682490945150491","-1.55643630102695","1.96806164574946","2.985396454868"
Brazil,"BRA","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","188463862179.827","204671754327.293","218180090112.894","219489170653.572","226951802455.793","232398645714.732","247969354977.619","258384067886.679","283705706539.573","310657748660.833","342966154521.559","381868537891.986","427464970662.726","487176363120.186","526900425054.734","554123521039.749","610960688375.518","641107493117.411","672969879603.445","718459683218.465","784557974074.562","751214260176.397","757449338535.857","735256072916.757","774959900854.261","835794253071.324","898395242626.365","930108594691.074","929550529534.26","958924326267.545","917211118074.905","926678475712.658","921636677135.004","967024426444.37","1023623112494.87","1066858840351.51","1090424301744.44","1127442527385.92","1131254386908.34","1136547951157.1","1186419100699.97","1202909097080.86","1239639467559.79","1253781634079.45","1325999012823.98","1368459252346.2","1422677453441.88","1509032134017.69","1585905180276.35","1583909921216.67","1703150236842","1770840632932.71","1804861597918.79","1859094488365.14","1868463501755.79","1802212206904.68","1743173232503.86","1766233131755.03","1797736845059.11","1819683217790.43","1760056587883.53","1847863165699.6","1901461002548.22"
Brazil,"BRA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","8.60000000000014","6.59999999999992","0.600000000000065","3.39999999999985","2.40000000000001","6.7000000000001","4.2","9.79999999999998","9.49999999999993","10.4","11.3429219931908","11.9403481162508","13.9687217796782","8.15393868457201","5.16664908406321","10.2571295347867","4.93432806978961","4.96989768924738","6.7595601220408","9.19999999999976","-4.24999999999956","0.829999999999529","-2.92999999999996","5.39999999999988","7.85000000000042","7.48999999999982","3.52999999999983","-0.059999999999917","3.16000000000032","-4.35000000000022","1.03218958549303","-0.54407204977727","4.9246900037071","5.85287036219013","4.22379363350413","2.20886405039022","3.39484598630671","0.338097901207306","0.467937566477133","4.38794944745618","1.38989640095637","3.05346185909312","1.14082899824888","5.75996463670954","3.20213206130431","3.96198871122617","6.06987060678338","5.09419544658736","-0.125812002161169","7.52822581815364","3.97442307944702","1.92117598576537","3.00482266944432","0.503955740242247","-3.54576339269425","-3.27591690782192","1.32286905404399","1.783666761634","1.22077782360842","-3.2767587964736","4.98884970066018","2.90053061522693"
Brazil,"BRA","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","5.37430354447872","3.48272907595528","-2.31587166228145","0.449644185438046","-0.456900051944046","3.81039591807175","1.46560310901229","7.00172050727971","6.7728378356253","7.68554034546585","8.64135619452004","9.2543986267647","11.2505080256775","5.60668280303118","2.71585884667796","7.69506033591483","2.49066354582763","2.5185062579298","4.27224216380786","6.66299747867278","-6.45287086617741","-1.45093407536268","-5.08834639411371","3.1080820479535","5.56783651140482","5.28838997172458","1.47859666727818","-1.97804486793616","1.24361157243902","-6.06555566873385","-0.700696275905813","-2.17997980598244","3.24256327215463","4.1829558149573","2.60809000580113","0.656502162853471","1.85534302488402","-1.12444242574024","-0.948845922551726","2.97091078107165","0.0596489436684067","1.76024277856577","-0.0512856664974208","4.56178195748839","2.05557150146443","2.84796200765309","4.98082992000504","4.06172216621563","-1.07323833266479","6.52281617922927","3.01339627261974","1.00765403282705","2.11425645194304","-0.354514802264433","-4.35831717939337","-4.05742300240568","0.523296588574212","0.978938492697395","0.448280407148658","-3.91800417154039","4.43535281911002","2.42870175959639"
China,"CHN","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","158907448897.943","115573387577.24","109124392561.753","120364204991.771","142246417451.721","166357185215.421","184074225438.214","173453142622.974","166341563798.828","194519824699.811","232062150860.483","248445738707.848","257911521353.149","277925455412.286","284345533440.525","309140463949.434","304286958660.224","327321481434.973","364393840372.01","392056159908.571","422770408019.727","444385648943.484","484456409125.395","536633345444.265","618156214897.486","701178782692.718","763934015643.662","852989071904.524","948716580689.533","988622772159.195","1027379269906.81","1122543213950.28","1282219705614.9","1460239618600.69","1650608234073.16","1831415106313.32","2013138309678.27","2199087464305.44","2371626806406.24","2553332587339.78","2770112908910.8","3001022137975.68","3275124419970.88","3603882407660.62","3968365429308.67","4420544471455.51","4982879973774.34","5691986693352.65","6241302053203.15","6827904909025.13","7554112071655.21","8275592638220.64","8926363432837.86","9619598215267.82","10333926843387.4","11061572618594.8","11819153423314","12640253743683.8","13493442283238.1","14296369668095.8","14616413683107.3","15851276922881.8","16325084918817.2"
